ID,Lable,Sender,Messages,Intervention type,Intervention message,Time spent (type),time spent (Message)  ,,,,,,,,,,,,,,,,,,
33,Complex,A,"As per my previous email, did you think about the job offer?","2. Help the parties understand each other's views, 5. Lay out the differences in perceptions and interests, 6. Identify and narrow issues","A, I think you want to make sure that B will be able to accept the job offer.B, I think that although you think that this is a good job, you are concerned about whether you will be able to receive the payment without any problems.B, I think that you want to make sure that B will be able to accept the job offer. We first need to understand each other's real needs before we can offer an effective solution to these problems.A, your gesture of offering a job offer is particularly great, and I'm sure a solution to the financial problem can be found very quickly.B, I completely understand your concerns, but I can also see that you are looking forward to accepting the job. So, we can now easily focus our questions on the financial issues.A, if you can ask again and look forward to resolving some of the financial issues, I'm sure you and B will have a great time working together, what do you think?

",68,225,,,,,,,,,,,,,,,,,,
,,B,"I did, but I'm still not sure you've detailled how the remuneration would occur in practice.",,,,,,,,,,,,,,,,,,,,,,
,,A,"Well, I already told you about it in person, but it will require a bit of financial tinkering.",,,,,,,,,,,,,,,,,,,,,,
,,B,"Yeah that's what I'm afraid of, I canno't afford to go abroad without financial security.",,,,,,,,,,,,,,,,,,,,,,
34,Complex,A,"Dear tenant, I saw on internet that you are subleasing the flat but you didn't ask me about it","1. Encourage exchanges of information, 12. Hold caucuses with each disputant if there is deadlock or a problem","Well, it's important for both of you to get all legal informations about the way of proceedings about subleasing, To do this, you can exchange the information you have and check it. In any case, the subleasing is not easy task and it's good to organize a debate to reassure A about B  intentions and the person you want to sublet to.",280,400,,,,,,,,,,,,,,,,,,
,,B,"Well, it is not mandatory to ask landlords to sublease!! I would have informed you in due time once I've found a candidate.",,,,,,,,,,,,,,,,,,,,,,
,,A,It is not possible when you are a lessee in low rental housing according to article 1984 of Quebec Civil Code and Roussel c. O.M.H. de Laval,,,,,,,,,,,,,,,,,,,,,,
,,B,"I see you've done your research. I don't know about that case, but this is not a low rental housing!",,,,,,,,,,,,,,,,,,,,,,
35,Confusion,A,"Dear provider, you forgot to include feature B in the first deliverable","5. Lay out the differences in perceptions and interests, 11. Shift the focus from one of blame to a creative exchange between the parties, 13. Propose solutions that meet the fundamental interests of all parties","Hey, I think the main disagreement is whether the customer should specify the type of expectation when describing the details of the desired software design, and I'm sure both of you have discussed many of the details well in your planning meetings, but I'm also aware that there are so many details of the software that it's hard to cover all the requirements in one meeting. Let's find a soluation together, B, you and A can talk about it and help A to adjust the position of featureB in a less time-consuming way, A you might wanna thank B, and maybe you can better describe your requirements in the next time you have a chance to work together.",188,362,,,,,,,,,,,,,,,,,,
,,B,"Dear client, are you sure it is not already in the build? Try right-click then ""others""",,,,,,,,,,,,,,,,,,,,,,
,,A,"Ah yes, but I wanted it in the User Interface ",,,,,,,,,,,,,,,,,,,,,,
,,B,"In this case, it should have been mentioned during the planning meeting. It can't be add before the second deliverable is done.",,,,,,,,,,,,,,,,,,,,,,
36,Confusion,A,I'm at the front door.,"1. Encourage exchanges of information, 9. Encourage flexibility and creativity","Ok guys, it seems like a misunderstanding. B, your girlfriend didn't say anything, so maybe you can just call her and ask which pair of shoes and for how much she wanted to sell them. In the meantime, B, maybe you could invite A in for a drink, it's rather unpleasant to have to wait outside.",124,200,,,,,,,,,,,,,,,,,,
,,B,"Hello, who are you?",,,,,,,,,,,,,,,,,,,,,,
,,A,"I'm here for the shoes, we talked on marketplace about it",,,,,,,,,,,,,,,,,,,,,,
,,B,"Oh it must have been my girlfriend then, but she didn't say which one and for how much.",,,,,,,,,,,,,,,,,,,,,,
37,Evidential,A,"Hello customer support, I haven't received my order yet.","1. Encourage exchanges of information, 3. Let the parties know that their concerns are understood, 10. Shift the focus from past to future","Hello everyone, I understand there's concern regarding the delayed delivery of an order crucial for an upcoming wedding. I apologize for the inconvenience caused by this delay. Perhaps customer support could provide more specific details about the exact day of delivery, rather than giving a vague response. This information would be very helpful and might alleviate some of the stress.
Customer service, it's important to ensure that the customer feels their concerns are fully understood. Instead of focusing solely on the delay, let's actively seek a solution. ",112,327,,,,,,,,,,,,,,,,,,
,,B,"Thank you for contacting the customer support, delivery can take more days than usual as we are changing our delivery partners. ",,,,,,,,,,,,,,,,,,,,,,
,,A,"I took the express delivery because I need it for a wedding. If it's not here tomorrow, the guaranteed delivery time from your terms & conditions will be exceeded.",,,,,,,,,,,,,,,,,,,,,,
,,B,"We will contact our delivery partner as soon as we can, thank you for your understanding.",,,,,,,,,,,,,,,,,,,,,,
38,Evidential,A,"Hello, I'm contacting you to delete my account on your website and all the data related.","1. Encourage exchanges of information, 5. Lay out the differences in perceptions and interests, 9. Encourage flexibility and creativity","Hello everyone, I see there are some disagreements between you two regarding the storage of personal information, it seems that the crux of your debate is about the methods stipulated in your agreement, perhaps, B should clarify what exactly are the 'legal obligations' mentioned. I understand that both of you have different perspectives on this matter: A believes that their personal information is extremely important, while B thinks that the information should be retained according to the website's policies, these viewpoints are understandable, however, being familiar with the project's concept could be the best way to resolve this issue. How about this: let's focus on solving the problem first and be more flexible. A's personal information is highly personal after all, and regardless of your website's policies, B, deleting his information upon his request is always appropriate. Perhaps, B, addressing this issue with greater flexibility might lead to a better solution.",99,334,,,,,,,,,,,,,,,,,,
,,B,"Dear member, we can delete your account, but your data will be kept due to our operational features.",,,,,,,,,,,,,,,,,,,,,,
,,A,"According to your privacy policy, on point 4.7, I have the right to delete my account and all the data related by contacting you at this email like I did.",,,,,,,,,,,,,,,,,,,,,,
,,B,We still need to keep your data to fulfill our legal obligations.,,,,,,,,,,,,,,,,,,,,,,
39,Impossible,A,"Roses are red, violets are blue, give me back my bike or I will find you","1. Encourage exchanges of information, 4. Promote a productive level of emotional expression, 8. Suggest that the parties take breaks when negotiations reach an impasse","I suggest we get more information on this matter. A, why do you think B have your bike? Could you describe it to us? B, is there any reason A might think you have their bike? I would like to remind you that violence and threats might not be the ideal solution. It might be much more productive to have an open discussion instead. You both seem to have a very strong emotional reaction to this situation, which is understandable. May I suggest you take a break to calm down before making any harsh decision?",45,169,,,,,,,,,,,,,,,,,,
,,B,Excuse me? I don't have your bike and this isn't even the right way to use that meme.,,,,,,,,,,,,,,,,,,,,,,
,,A,"Let's settle this tonight, on the mall parking. 11PM.",,,,,,,,,,,,,,,,,,,,,,
,,B,"Oh I think you will regret this, I will be there.",,,,,,,,,,,,,,,,,,,,,,
40,Impossible,A,What if I were to ask them again for the execution of the contract?,5. Lay out the differences in perceptions and interests,"I'm guessing there's some misunderstanding on this one?B, you don't think it's the person responsible for A's contract, and A, you think that questions related to your contract should be answered by B, since B is the reason this contract exists. Do you guys need some more information on what is going on?",47,101,,,,,,,,,,,,,,,,,,
,,B,"I'm not sure I'm the right person to ask this, I canno't give you advice on this matter.",,,,,,,,,,,,,,,,,,,,,,
,,A,"Oh you're one to talk, this is because of you that this contract exists in the first place.",,,,,,,,,,,,,,,,,,,,,,
,,B,Eh... no? ,,,,,,,,,,,,,,,,,,,,,,
41,Emotional,A,"Hey landlord, the heating doesn't work and it's so cold I have to wear gloves in the apartment. I'm afraid my pet will freeze to death. Please do something!!","2. Help the parties understand each other's views, 4. Promote a productive level of emotional expression, 6. Identify and narrow issues","I think the key to the problem lies in understanding the perspectives of both parties. A is currently facing an urgent issue: his apartment is extremely cold, which significantly impacts the living experience during the harsh winter. A uses his pet as an example to illustrate the severity of the coldness in the apartment. Meanwhile, B, even while you are vacationing in Florida, you still need to ensure the rightful interests of your tenants. It's normal for A to express his emotions, as living in a cold apartment during winter is intolerable. Besides expressing your emotions, A, you could also provide more evidence of your apartment's temperature, such as photos of a thermometer. Although B, you might think you're not responsible for A's pet, as a landlord, you are responsible for your tenants. We first need to clarify the key issue of this dispute. I believe that as a landlord, you should be responsible if your tenants are living under such poor conditions.",85,296,,,,,,,,,,,,,,,,,,
,,B,"I'm sorry, I'm on vacation in Florida for the whole month of December, I'll check it out when I get back.",,,,,,,,,,,,,,,,,,,,,,
,,A,It'll be even colder by then! My pet will be dead! I don't want my baby to die!,,,,,,,,,,,,,,,,,,,,,,
,,B,Your pet is not mentionned in the lease. Not my problem!,,,,,,,,,,,,,,,,,,,,,,
42,Emotional,A,"Yo roomie, Im back form the ER, Im deadly allergic to peanuts, remember? Thinks about it next time you order chinese food!","2. Help the parties understand each other's views, 4. Promote a productive level of emotional expression, 11. Shift the focus from one of blame to a creative exchange between the parties","A, B did'nt mean to hurt you since this food was not meant to you, and B, be understanding, your roomate just had a big health scare. In any case, insulting and blaming each other will not be of any use. Why don't you discuss of ways to prevent similar issues in the future ?",75,180,,,,,,,,,,,,,,,,,,
,,B,It wouldnt be a problem if you didnt eat MY food.,,,,,,,,,,,,,,,,,,,,,,
,,A,OMG its a respiratory thing! Its serious I could have died! Youre such a shitty roomate!,,,,,,,,,,,,,,,,,,,,,,
,,B,"No, you're a shitty roomate, that'll teach you!",,,,,,,,,,,,,,,,,,,,,,
43,Complex,A,You can't just take my idea and use it without permission! This is intellectual theft. I demand compensation!,"1. Encourage exchanges of information, 2. Help the parties understand each other's views, 4. Promote a productive level of emotional expression","Hey, why don't we all calm down for a moment and discuss what's really going on? What are your respective ideas? The similarity of ideas can be assessed to a certain extent, and you must have some records of the process of generating ideas, which can help us to understand the sequence of ideas generation, and whether the generation of your ideas was influenced by others. I fully understand that it's exciting to have an innovative idea, and it's normal to have some reasonable doubts when you see other similar ideas, but we can't blame each other based on our doubts. It's hard to objectively assess the facts when you're emotionally on top of things, A and B. Why don't you both calm down, take a deep breath, and let's discuss what's really going on, okay?",44,323,,,,,,,,,,,,,,,,,,
,,B,I didn't take anything from you. It was a coincidence that we had similar ideas.,,,,,,,,,,,,,,,,,,,,,,
,,A,"Coincidence? You've been spying on me, haven't you?",,,,,,,,,,,,,,,,,,,,,,
,,B,Absolutely not! I have my own sources of inspiration.,,,,,,,,,,,,,,,,,,,,,,
44,Complex,A,"You're using my work to train your AI. I want you to stop. It's my intellectual property. I did not consent for it to be used in such ways. At the very least, I would like to be compensated.","2. Help the parties understand each other's views, 3. Let the parties know that their concerns are understood, 7. Help parties realistically evaluate alternatives to settlement","AI training is a case where you need to look at the bigger picture: on the one hand, it's understandable that people don't want to see their work used in this way, but on the other hand, AI models require a lot of data, and one piece of work doesn't make up a significant part of the training. With that said, it should be possible to remove selected data from the database, even in case of web scraping, as this feature should be required by regulations such as the AI Act. If the author was able to know that their work had been used in the training of the data, removal should also be doable, or compensation relative to the proportion of the work used in the training could be considered. ",180,360,,,,,,,,,,,,,,,,,,
,,B,We use web crawlers to get training data. We only use what is readily available on the web for free.,,,,,,,,,,,,,,,,,,,,,,
,,A,"It being available on the web doesnt mean it can be used as training data. For example, a work can be posted without the consent of its author.",,,,,,,,,,,,,,,,,,,,,,
,,B,We cannot discriminates between the data we gathered like that.,,,,,,,,,,,,,,,,,,,,,,
45,Confusion,A,"Hello neightbor, I noticed you were using my property as a shorcut. Can you stop doing that? Thank you","2. Help the parties understand each other's views, 3. Let the parties know that their concerns are understood, 7. Help parties realistically evaluate alternatives to settlement"," It would be helpful if A could provide further details on the legal implications and the personal impact of this usage. This clarity might help B better understand the situation from A’s perspective. If it turns out that accessing this shortcut is crucial, I encourage you to explore some compromise solutions together.",125,312,,,,,,,,,,,,,,,,,,
,,B,"I dont understand the issue, whats the problem?",,,,,,,,,,,,,,,,,,,,,,
,,A,"Come on, you dont step on private property, its common sense",,,,,,,,,,,,,,,,,,,,,,
,,B,I didnt know that? Why? Whats the problem?,,,,,,,,,,,,,,,,,,,,,,
46,Confusion,A,"Hello landlord, I would like to inform you that the main entrance door lock is insecure. I can open it using a credit card. You should look into replacing it.","1. Encourage exchanges of information, 10. Shift the focus from past to future","There seems to have been a misunderstanding about the cause of the lock breaking, could each of you repeat your request? The cause of the break may remain unknown, but the aim now is to repair or replace it to restore the security of the housing.",60,120,,,,,,,,,,,,,,,,,,
,,B,Stop breaking the door!,,,,,,,,,,,,,,,,,,,,,,
,,A,I didn't break the lock. It was already like that.,,,,,,,,,,,,,,,,,,,,,,
,,B,"If you keep breaking the door, Im calling the police!",,,,,,,,,,,,,,,,,,,,,,
47,Evidential,A,"Hey landlord, due to the renovations we no longer have a locker","5. Lay out the differences in perceptions and interests, 13. Propose solutions that meet the fundamental interests of all parties.","Okay, so it looks like we know exactly what's going on, A thinks they have the right to use the previous locker because that's what the lease says, and B thinks that by transferring the locker to the new apartment, A can't have it because there's no longer a vacant locker. I think we should first find out exactly what the lease says and whether A has an unconditional right to use the locker, and secondly, B, you should at least let A know what is happening when you transfer the locker to someone else. How about this, when a new locker comes along, B, you promise to let A have the right to use it first, is that ok?",36,177,,,,,,,,,,,,,,,,,,
,,B,"Yes, sorry, I've converted this space into a new apartment.",,,,,,,,,,,,,,,,,,,,,,
,,A,The lease states that we have access to a locker.,,,,,,,,,,,,,,,,,,,,,,
,,B,"The space has already been converted, there's nothing I can do about it.",,,,,,,,,,,,,,,,,,,,,,
48,Evidential,A,I would like a refund on this item,"5. Lay out the differences in perceptions and interests, 7. Help parties realistically evaluate alternatives to settlement","Okay, it seems there is a difference in understanding between the two of you regarding the issue, A, you believe that any product bought from a store can be returned at any time as long as you have the receipt, B, on the other hand, you believe that returns can only be made within 30 days of purchase with the receipt. This difference in understanding is the main reason for the dispute. I think B's perspective is more reasonable, otherwise, B would have to be responsible for products sold many years ago, which would be unacceptable for a business.",40,216,,,,,,,,,,,,,,,,,,
,,B,"Of course, do you have the receipt?",,,,,,,,,,,,,,,,,,,,,,
,,A,"Yes, here it is. As you can see I bought this item at his location.",,,,,,,,,,,,,,,,,,,,,,
,,B,"Thank you, I see you bought this item more thant 30 days ago. Therefore, we cannot issue a refund.",,,,,,,,,,,,,,,,,,,,,,
49,Impossible,A,Your cat destroyed my flower beds again! Stop letting it out unsupervised,"2. Help the parties understand each other's views, 9. Encourage flexibility and creativity, 4. Promote a productive level of emotional expression","It's important for you B, to understand that your cat cause damages to your neighboor as much as it's important to be sensible that a cat is a living being who needs to go out. B,  maybe you could call in a cat trainer to teach him to stop damaging the floorboards. In any case, A, it's not reasonable threatening to harm your neighbor's cat.",80,253,,,,,,,,,,,,,,,,,,
,,B,I cant keep him inside. He needs to get out!,,,,,,,,,,,,,,,,,,,,,,
,,A,I warning you. Im putting rat poison if this continues,,,,,,,,,,,,,,,,,,,,,,
,,B,No please. He goes crazy when he cant get out. Hes used to go everyday. ,,,,,,,,,,,,,,,,,,,,,,
50,Impossible,A,"You can't keep avoiding the issue. You owe me money, and I want it back now.","6. Identify and narrow issues, 6. Identify and narrow issues, , 13. Propose solutions that meet the fundamental interests of all parties., 6. Identify and narrow issues, 13. Propose solutions that meet the fundamental interests of all parties., 6. Identify and narrow issues, 13. Propose solutions that meet the fundamental interests of all parties., 6. Identify and narrow issues, 13. Propose solutions that meet the fundamental interests of all parties., , 6. Identify and narrow issues, 13. Propose solutions that meet the fundamental interests of all parties., , 6. Identify and narrow issues, 13. Propose solutions that meet the fundamental interests of all parties., 6. Identify and narrow issues, 13. Propose solutions that meet the fundamental interests of all parties., , 7. Help parties realistically evaluate alternatives to settlement, 13. Propose solutions that meet the fundamental interests of all parties., 13. Propose solutions that meet the fundamental interests of all parties., 6. Identify and narrow issues, 6. Identify and narrow issues, 13. Propose solutions that meet the fundamental interests of all parties., 6. Identify and narrow issues, 13. Propose solutions that meet the fundamental interests of all parties., 6. Identify and narrow issues, 13. Propose solutions that meet the fundamental interests of all parties., 6. Identify and narrow issues, 13. Propose solutions that meet the fundamental interests of all parties., 6. Identify and narrow issues, 13. Propose solutions that meet the fundamental interests of all parties.","Hi, I understand here that, B owe money to A but, no reimbursement delay was ever planned. The best option here seems to plan on paper a delay that B should respect. ",80,127,,,,,,,,,,,,,,,,,,
,,B,"I already told you, I don't have the money right now. I'll pay you back when I can.",,,,,,,,,,,,,,,,,,,,,,
,,A,That's not good enough. I need it now to cover my expenses.,,,,,,,,,,,,,,,,,,,,,,
,,B,I don't know what to tell you. I cant make the money magically appear.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
